Word,POS_Tag,Coarse_Tag,Category,Lemma,Tag_Meaning,Sentence_No
line,NN,NOUN,Noun,line,"noun, singular or mass",48
subdivision,NN,NOUN,Noun,subdivision,"noun, singular or mass",48
drivers,NNS,NOUN,Noun,driver,"noun, plural",48
wildfire,NN,NOUN,Noun,wildfire,"noun, singular or mass",48
ignitions,NNS,NOUN,Noun,ignition,"noun, plural",48
happen,VBP,VERB,Verb,happen,"verb, non-3rd person singular present",48
are,VBP,VERB,Verb,be,"verb, non-3rd person singular present",48
people,NNS,NOUN,Noun,people,"noun, plural",48
SIEGLER,NNS,NOUN,Noun,siegler,"noun, plural",49
Pohl,NNP,PROPN,Proper Noun,pohl,"noun, proper singular",50
